"Package","Version"
"usethis","3.2.2"
"utf8","1.2.6"
"uuid","1.2-2"
"uwot","0.2.4"
"V8","8.2.0"
"vctrs","0.7.3"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"vroom","1.7.1"
"waldo","0.6.2"
"webfakes","1.5.0"
"whisker","0.4.1"
"withr","3.0.2"
"wordcloud","2.6"
"xfun","0.57"
"xgboost","3.2.1.1"
"XML","3.99-0.23"
"xml2","1.5.2"
"xopen","1.0.1"
"xtable","1.8-8"
"XVector","0.50.0"
"yaml","2.3.12"
"yulab.utils","0.2.5"
"zip","3.0.2"
"zoo","1.8-15"
"base","4.5.3"
"boot","1.3-32"
"class","7.3-23"
"cluster","2.1.8.2"
"codetools","0.2-20"
"compiler","4.5.3"
"datasets","4.5.3"
"foreign","0.8-91"
"graphics","4.5.3"
"grDevices","4.5.3"
"grid","4.5.3"
"KernSmooth","2.23-26"
"lattice","0.22-9"
"MASS","7.3-65"
"Matrix","1.7-4"
"methods","4.5.3"
"mgcv","1.9-4"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.5.3"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.5.3"
"stats","4.5.3"
"stats4","4.5.3"
"survival","3.8-6"
"tcltk","4.5.3"
"tools","4.5.3"
"translations","4.5.3"
"utils","4.5.3"
