"Condition","Program","Spots","Mean_Score","Median_Score","SD_Score","Q25","Q75"
"Sham","Fibroblasts",1657,0.103924683054047,0.0982207550195078,0.054877861777767,0.066697556255651,0.134655795755475
"2W","Fibroblasts",2040,0.106759049954724,0.101135533688807,0.0433692502145778,0.0752211662338866,0.132586430112399
"4W","Fibroblasts",1212,0.138550436876188,0.13096593102507,0.0526577731577727,0.103192526685541,0.166273164502876
"6W","Fibroblasts",2170,0.115049419149473,0.112532566548381,0.0483804105987656,0.0830436465149488,0.142606357302407
"Sham","Macrophages",1657,0.0660279916774177,0.0541286675005465,0.0576724418862561,0.0273726683464605,0.0905490352356817
"2W","Macrophages",2040,0.0731288719720124,0.0622063655400199,0.0499685949491657,0.038569688814034,0.0958435383446441
"4W","Macrophages",1212,0.12325664557193,0.111729005540853,0.0703787980656406,0.0744798352772842,0.160308399059208
"6W","Macrophages",2170,0.0961498772935147,0.087753669622738,0.0566745932919493,0.0572965153174379,0.127731457371591
"Sham","Monocytes",1657,0.0027316685767553,0,0.00782567642368437,0,0
"2W","Monocytes",2040,0.0030278055398344,0,0.00640739978061828,0,0
"4W","Monocytes",1212,0.00985665875204525,0.00758240432787984,0.0130959807742733,0,0.0157077691338597
"6W","Monocytes",2170,0.006120257693156,0,0.0109712337468627,0,0.00889377213084831
"Sham","Myeloid cells",1657,0.00277637743378308,0,0.00855605522546274,0,0
"2W","Myeloid cells",2040,0.00196342927415149,0,0.00579599121865525,0,0
"4W","Myeloid cells",1212,0.000953930177738846,0,0.00473272235735861,0,0
"6W","Myeloid cells",2170,0.0107468932418419,0,0.0170572290545301,0,0.0168453724827665
"Sham","NK cells",1657,0.000780874637497309,0,0.00413518682301953,0,0
"2W","NK cells",2040,0.00117458105500084,0,0.00497558541078664,0,0
"4W","NK cells",1212,0.00312768953029913,0,0.00913572414205995,0,0
"6W","NK cells",2170,0.00413174880047196,0,0.0109218452932602,0,0
"Sham","Neutrophils",1657,0.00617632001808665,0,0.0202646043089881,0,0
"2W","Neutrophils",2040,0.00161898601633122,0,0.00922105143447659,0,0
"4W","Neutrophils",1212,0.0185198925284392,0.00815537922085897,0.0358310784159731,0,0.0217431496053003
"6W","Neutrophils",2170,0.00317678358651465,0,0.0136834768286201,0,0
"Sham","Pericytes",1657,0.171772322008724,0.169842153515692,0.0672535071370311,0.128747778768104,0.215801626373722
"2W","Pericytes",2040,0.196209135816291,0.195096749498141,0.0470745559388342,0.161337803949433,0.22595362400285
"4W","Pericytes",1212,0.191317446479485,0.188949801874116,0.0524795957209326,0.155534107872436,0.224154808394452
"6W","Pericytes",2170,0.202541395622499,0.203479107993134,0.0637058132384764,0.163059425464494,0.24178644269131
"Sham","Platelets",1657,0.0122459659562713,0,0.0162988268630647,0,0.0210475301659266
"2W","Platelets",2040,0.0147001612630172,0.0108849373030802,0.0197259015739104,0,0.0205053073452201
"4W","Platelets",1212,0.0124095129924852,0.00944657734148892,0.0135655359566418,0,0.0199799641124168
"6W","Platelets",2170,0.0219536873365074,0.0212254532681209,0.0206910007301333,0,0.0325582417980954
"Sham","Smooth muscle cells",1657,0.0292214224144355,0.0203726226201392,0.0451988010112885,0,0.0381256820961071
"2W","Smooth muscle cells",2040,0.0293199091327094,0.0229189758229002,0.0329702211391479,0.0115226601437048,0.0372900264127723
"4W","Smooth muscle cells",1212,0.029448743280443,0.0214700203160899,0.0377388023432011,0.00956893162437942,0.0363078196014871
"6W","Smooth muscle cells",2170,0.03338027579545,0.0272049372903397,0.0367208261925792,0.0126782363754981,0.0433614918072431
"Sham","T cells",1657,0.00210127622986363,0,0.00859855734628498,0,0
"2W","T cells",2040,0.00171845094576958,0,0.00537782634178667,0,0
"4W","T cells",1212,0.00539079842544648,0,0.0113048877150937,0,0.00838191369527497
"6W","T cells",2170,0.00641239918878083,0,0.0130393460598106,0,0.00854840509503152
